pair,year,gap_start,gap_end,gap_minutes,missing_minutes
EURUSD,2024,2024-01-05T16:59:00Z,2024-01-08T00:00:00Z,421,420
EURUSD,2024,2024-01-12T16:59:00Z,2024-01-15T00:00:00Z,421,420
EURUSD,2024,2024-01-15T13:59:00Z,2024-01-15T15:00:00Z,61,60
EURUSD,2024,2024-01-16T11:59:00Z,2024-01-16T13:00:00Z,61,60
EURUSD,2024,2024-01-16T15:59:00Z,2024-01-16T19:00:00Z,181,180
EURUSD,2024,2024-01-19T16:59:00Z,2024-01-22T00:00:00Z,421,420
EURUSD,2024,2024-01-26T16:59:00Z,2024-01-29T00:00:00Z,421,420
EURUSD,2024,2024-02-02T16:59:00Z,2024-02-05T00:00:00Z,421,420
EURUSD,2024,2024-02-09T16:59:00Z,2024-02-12T00:00:00Z,421,420
EURUSD,2024,2024-02-16T16:59:00Z,2024-02-19T00:00:00Z,421,420
EURUSD,2024,2024-02-23T16:59:00Z,2024-02-26T00:00:00Z,421,420
EURUSD,2024,2024-03-01T16:59:00Z,2024-03-04T00:00:00Z,421,420
EURUSD,2024,2024-03-08T16:59:00Z,2024-03-11T00:00:00Z,421,420
EURUSD,2024,2024-03-15T15:59:00Z,2024-03-18T00:00:00Z,481,480
EURUSD,2024,2024-03-22T15:59:00Z,2024-03-25T00:00:00Z,481,480
EURUSD,2024,2024-03-29T15:59:00Z,2024-04-01T00:00:00Z,481,480
EURUSD,2024,2024-04-05T16:59:00Z,2024-04-08T00:00:00Z,421,420
EURUSD,2024,2024-04-12T16:59:00Z,2024-04-15T00:00:00Z,421,420
EURUSD,2024,2024-04-19T16:59:00Z,2024-04-22T00:00:00Z,421,420
EURUSD,2024,2024-04-26T16:59:00Z,2024-04-29T00:00:00Z,421,420
EURUSD,2024,2024-05-03T16:59:00Z,2024-05-06T00:00:00Z,421,420
EURUSD,2024,2024-05-10T16:59:00Z,2024-05-13T00:00:00Z,421,420
EURUSD,2024,2024-05-17T16:59:00Z,2024-05-20T00:00:00Z,421,420
