programme,risk_pct,p_pass_step1,p_kill,p_breach,median_trades_to_pass,months_to_pass,p_maxdd_gt_5pct,p_all_steps
"Bootcamp  (3x +6%, -5% static)",0.2,0.8288,0.1713,0.0,211.0,22.8,0.02,0.5692
"Bootcamp  (3x +6%, -5% static)",0.25,0.7648,0.2352,0.0,150.0,16.2,0.069,0.4473
"Bootcamp  (3x +6%, -5% static)",0.3,0.7118,0.2882,0.0,113.0,12.2,0.1532,0.3606
"Bootcamp  (3x +6%, -5% static)",0.4,0.6302,0.3698,0.0,69.0,7.5,0.3516,0.2502
"Bootcamp  (3x +6%, -5% static)",0.5,0.5752,0.4248,0.0,48.0,5.2,0.5462,0.1904
"Bootcamp  (3x +6%, -5% static)",0.6,0.535,0.465,0.0,35.0,3.8,0.7032,0.1532
"Bootcamp  (3x +6%, -5% static)",0.75,0.5008,0.4992,0.0,24.0,2.6,0.8543,0.1256
"Bootcamp  (3x +6%, -5% static)",1.0,0.463,0.537,0.0,15.0,1.6,0.9588,0.0993
"High Stakes (10%+5%, -10%)",0.2,0.9678,0.0322,0.0,423.0,45.8,0.02,0.9382
"High Stakes (10%+5%, -10%)",0.25,0.9376,0.0624,0.0,321.0,34.7,0.069,0.8841
"High Stakes (10%+5%, -10%)",0.3,0.9026,0.0974,0.0,251.0,27.2,0.1532,0.8253
"High Stakes (10%+5%, -10%)",0.4,0.833,0.167,0.0,166.0,18.0,0.3516,0.7145
"High Stakes (10%+5%, -10%)",0.5,0.7708,0.2292,0.0,118.0,12.8,0.5462,0.6242
"High Stakes (10%+5%, -10%)",0.6,0.7214,0.2786,0.0,88.0,9.5,0.7032,0.5578
"High Stakes (10%+5%, -10%)",0.75,0.6583,0.3417,0.0,60.0,6.5,0.8543,0.4786
"High Stakes (10%+5%, -10%)",1.0,0.5915,0.4085,0.0,37.0,4.0,0.9588,0.4014
