basket,n,best_m,frac,lots
L002,8,1.25,0.7142857142857143,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11"
L008,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L010,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
L011,9,1.25,0.75,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14"
L019,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L021,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L030,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L031,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L035,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
L046,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L048,6,1.2,0.8,"0.02,0.02,0.03,0.04,0.05,0.06"
L065,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L066,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L067,6,1.2,0.8,"0.02,0.02,0.02,0.03,0.04,0.05"
L074,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L078,4,1.2,1.0,"0.02,0.02,0.02,0.02"
L082,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L084,10,1.25,0.7777777777777778,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.18"
L086,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
L088,6,1.2,0.8,"0.02,0.02,0.03,0.04,0.05,0.06"
L091,7,1.25,0.8333333333333334,"0.02,0.02,0.03,0.04,0.05,0.06,0.08"
L092,12,1.3,0.8181818181818182,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.18,0.23,0.30"
L093,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
L094,8,1.25,0.7142857142857143,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11"
L096,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L107,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L111,7,1.25,0.8333333333333334,"0.02,0.02,0.03,0.04,0.05,0.06,0.08"
L114,11,1.3,0.8,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.18,0.23"
L116,6,1.2,0.8,"0.02,0.02,0.03,0.04,0.05,0.06"
L131,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L163,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L164,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L171,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L173,7,1.25,0.8333333333333334,"0.02,0.02,0.03,0.04,0.05,0.06,0.08"
L175,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
L182,9,1.25,0.75,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14"
L184,16,1.3,0.8,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.18,0.23,0.30,0.39,0.51,0.67,0.87"
L187,7,1.25,0.8333333333333334,"0.02,0.02,0.03,0.04,0.05,0.06,0.08"
L196,11,1.25,0.8,"0.02,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.18"
L197,11,1.3,0.6,"0.06,0.05,0.04,0.03,0.08,0.11,0.14,0.18,0.23,0.19,0.16"
L200,10,1.3,0.8888888888888888,"0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.18,0.23,0.30"
L208,10,1.25,0.6666666666666666,"0.03,0.02,0.02,0.04,0.05,0.06,0.08,0.11,0.14,0.18"
L217,7,1.25,0.8333333333333334,"0.02,0.02,0.03,0.04,0.05,0.06,0.08"
L218,6,1.2,0.8,"0.02,0.02,0.03,0.04,0.05,0.06"
L225,6,1.2,0.8,"0.02,0.02,0.03,0.04,0.05,0.06"
L242,12,1.35,0.45454545454545453,"0.02,0.03,0.04,0.05,0.07,0.08,0.11,0.18,0.23,0.14,0.31,0.02"
L243,6,1.25,0.8,"0.11,0.08,0.06,0.05,0.04,0.03"
L244,8,1.25,0.7142857142857143,"0.14,0.11,0.08,0.06,0.05,0.04,0.03,0.18"
L245,13,1.3,0.5833333333333334,"0.40,0.31,0.23,0.18,0.14,0.11,0.08,0.07,0.05,0.04,0.03,0.02,0.02"
S003,7,1.25,0.8333333333333334,"0.02,0.02,0.03,0.04,0.05,0.06,0.08"
S004,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S010,7,1.25,0.8333333333333334,"0.02,0.02,0.03,0.04,0.05,0.06,0.08"
S015,16,1.3,0.5333333333333333,"0.11,0.14,0.09,0.06,0.05,0.04,0.03,0.02,0.02,0.03,0.02,0.18,0.24,0.31,0.41,0.54"
S016,16,1.2,0.2,"0.54,0.41,0.31,0.24,0.18,0.02,0.06,0.03,0.02,0.02,0.04,0.05,0.11,0.09,0.14,0.24"
S017,15,1.25,0.2857142857142857,"0.41,0.54,0.31,0.24,0.02,0.11,0.09,0.02,0.02,0.14,0.18,0.06,0.03,0.05,0.04"
S018,15,1.25,0.5,"0.54,0.41,0.31,0.24,0.18,0.09,0.11,0.14,0.03,0.04,0.05,0.06,0.02,0.02,0.02"
S019,15,1.3,0.5714285714285714,"0.70,0.54,0.41,0.31,0.24,0.18,0.14,0.09,0.11,0.90,1.17,1.52,1.98,2.57,3.34"
S025,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S029,5,1.2,0.75,"0.02,0.02,0.03,0.04,0.05"
S031,8,1.25,0.7142857142857143,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11"
S042,15,1.3,0.21428571428571427,"0.67,0.52,0.40,0.31,0.18,0.23,0.14,0.02,0.11,0.05,0.08,0.03,0.07,0.04,0.02"
S060,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S061,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S062,13,1.3,0.8333333333333334,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.18,0.23,0.30,0.39"
S067,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S077,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S078,4,1.2,0.6666666666666666,"0.02,0.02,0.03,0.04"
S090,5,1.2,0.75,"0.02,0.02,0.02,0.03,0.04"
S102,8,1.25,0.7142857142857143,"0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11"
