basket,dir,start,end,duration_s,n_entries,total_lots,max_simul_lots,wavg_entry,wavg_exit,first_entry,last_entry,entry_span,gross_profit,swap,comm,net,profit_per_001lot,exit_dist_from_wae,n_close_events,all_closed_together,med_gap_s,max_gap_s,med_price_step,n_partial,outcome
L001,long,2026-06-29 12:23:35,2026-06-29 12:30:28,413.0,2,0.04,0.04,4048.3,4049.88,4049.82,4046.78,3.0399999999999636,6.32,0.0,0.0,6.32,1.58,1.5799999999999272,2,True,174.0,174.0,3.0399999999999636,0,profit
L002,long,2026-06-29 12:37:55,2026-06-29 13:10:10,1935.0,8,0.41000000000000003,0.41000000000000003,4032.0987804878046,4033.598780487804,4043.23,4028.06,17.36999999999989,61.5,0.0,0.0,61.5,1.5,1.4999999999995453,3,False,113.0,475.0,2.5599999999999454,0,profit
S001,short,2026-06-29 12:59:27,2026-06-29 13:03:41,254.0,2,0.04,0.04,4031.2799999999993,4028.705000000001,4030.6,4031.96,1.3600000000001273,10.3,0.0,0.0,10.3,2.575,2.574999999998454,2,True,89.0,89.0,1.3600000000001273,0,profit
L003,long,2026-06-29 14:23:35,2026-06-29 14:30:32,417.0,2,0.04,0.04,4029.665,4032.4600000000005,4030.66,4028.67,1.9899999999997817,11.18,0.0,0.0,11.18,2.795,2.7950000000005275,1,True,206.0,206.0,1.9899999999997817,0,profit
S002,short,2026-06-29 14:31:18,2026-06-29 14:33:03,105.0,2,0.04,0.04,4036.1050000000005,4033.395,4035.19,4037.02,1.8299999999999272,10.84,0.0,0.0,10.84,2.71,2.710000000000491,1,True,26.0,26.0,1.8299999999999272,0,profit
L004,long,2026-06-29 14:34:25,2026-06-29 14:45:48,683.0,1,0.02,0.02,4034.2,4036.5100000000007,4034.2,4034.2,0.0,4.62,0.0,0.0,4.62,2.31,2.310000000000855,1,True,,,,0,profit
S003,short,2026-06-29 14:48:33,2026-06-29 15:16:56,1703.0,7,0.30000000000000004,0.30000000000000004,4047.4449999999997,4046.093999999999,4036.94,4051.16,14.2199999999998,40.529999999999994,0.0,0.0,40.529999999999994,1.3509999999999995,1.3510000000005675,3,False,251.0,522.0,2.324999999999818,0,profit
L005,long,2026-06-29 15:22:43,2026-06-29 15:33:22,639.0,3,0.07,0.07,4040.5257142857135,4043.0142857142855,4042.99,4039.2,3.7899999999999636,17.42,0.0,0.0,17.42,2.4885714285714284,2.4885714285719587,1,True,124.0,167.0,1.8949999999999818,0,profit
S004,short,2026-06-29 15:34:18,2026-06-29 16:11:07,2209.0,4,0.11000000000000001,0.11000000000000001,4047.877272727272,4044.8554545454544,4042.58,4050.4,7.820000000000164,33.239999999999995,0.0,0.0,33.239999999999995,3.021818181818181,3.0218181818177072,1,True,270.0,1384.0,2.580000000000382,0,profit
L006,long,2026-06-29 15:42:06,2026-06-29 15:45:09,183.0,1,0.02,0.02,4043.1199999999994,4045.5899999999997,4043.12,4043.12,0.0,4.94,0.0,0.0,4.94,2.47,2.4700000000002547,1,True,,,,0,profit
L007,long,2026-06-29 16:11:19,2026-06-29 16:12:33,74.0,1,0.02,0.02,4045.92,4048.8100000000004,4045.92,4045.92,0.0,5.78,0.0,0.0,5.78,2.89,2.8900000000003274,1,True,,,,0,profit
L008,long,2026-06-29 16:22:05,2026-06-29 16:31:34,569.0,4,0.11000000000000001,0.11000000000000001,4040.667272727272,4042.7536363636364,4045.08,4038.12,6.960000000000036,22.950000000000003,0.0,0.0,22.950000000000003,2.0863636363636364,2.08636363636424,2,True,159.0,219.0,2.3600000000001273,0,profit
S005,short,2026-06-29 16:32:07,2026-06-29 16:33:29,82.0,1,0.02,0.02,4041.1,4040.31,4041.1,4041.1,0.0,1.58,0.0,0.0,1.58,0.79,0.7899999999999636,1,True,,,,0,profit
L009,long,2026-06-29 16:36:26,2026-06-29 16:42:50,384.0,2,0.04,0.04,4037.9549999999995,4041.21,4040.64,4035.27,5.369999999999891,13.020000000000001,0.0,0.0,13.020000000000001,3.2550000000000003,3.255000000000564,1,True,84.0,84.0,5.369999999999891,0,profit
S006,short,2026-06-29 16:40:44,2026-06-29 16:46:05,321.0,3,0.07,0.07,4039.1828571428564,4036.8599999999997,4037.82,4039.9,2.0799999999999272,16.26,0.0,0.0,16.26,2.322857142857143,2.3228571428567193,2,True,75.0,86.0,1.0399999999999636,0,profit
L010,long,2026-06-29 16:46:42,2026-06-29 17:01:02,860.0,5,0.16000000000000003,0.16000000000000003,4032.350625,4034.882499999999,4036.25,4029.77,6.480000000000018,40.51,0.0,0.0,40.51,2.5318749999999994,2.531874999998763,1,True,128.5,313.0,1.5950000000000273,0,profit
S007,short,2026-06-29 17:01:42,2026-06-29 17:02:09,27.0,1,0.02,0.02,4033.1200000000003,4031.89,4033.12,4033.12,0.0,2.46,0.0,0.0,2.46,1.23,1.230000000000473,1,True,,,,0,profit
L011,long,2026-06-29 17:02:44,2026-06-29 17:13:55,671.0,9,0.55,0.55,4015.1919999999996,4015.4396363636365,4031.47,4012.02,20.2199999999998,13.619999999999983,0.0,0.0,13.619999999999983,0.24763636363636332,0.24763636363695696,4,False,42.5,261.0,2.380000000000109,0,profit
S008,short,2026-06-29 17:09:12,2026-06-29 17:09:27,15.0,1,0.02,0.02,4018.2799999999997,4016.7799999999997,4018.28,4018.28,0.0,3.0,0.0,0.0,3.0,1.5,1.5,1,True,,,,0,profit
L012,long,2026-06-29 17:15:37,2026-06-29 17:16:31,54.0,1,0.02,0.02,4003.18,4008.64,4003.18,4003.18,0.0,10.92,0.0,0.0,10.92,5.46,5.460000000000036,1,True,,,,0,profit
S009,short,2026-06-29 17:16:53,2026-06-29 17:17:02,9.0,1,0.02,0.02,4009.4,4008.29,4009.4,4009.4,0.0,2.22,0.0,0.0,2.22,1.11,1.1100000000001273,1,True,,,,0,profit
S010,short,2026-06-29 17:18:47,2026-06-29 17:44:21,1534.0,7,0.30000000000000004,0.30000000000000004,4022.819333333333,4020.8689999999997,4016.08,4026.23,10.309999999999945,58.510000000000005,0.0,0.0,58.510000000000005,1.9503333333333333,1.9503333333332193,3,False,39.5,240.0,1.6300000000001091,0,profit
L013,long,2026-06-29 17:29:49,2026-06-29 17:30:08,19.0,1,0.02,0.02,4024.38,4026.9100000000003,4024.38,4024.38,0.0,5.06,0.0,0.0,5.06,2.53,2.5300000000002,1,True,,,,0,profit
L014,long,2026-06-29 17:34:40,2026-06-29 17:44:21,581.0,2,0.04,0.04,4025.41,4020.375,4028.29,4022.53,5.7599999999997635,-20.14,0.0,0.0,-20.14,-5.035,-5.0349999999998545,2,True,276.0,276.0,5.7599999999997635,0,loss
L015,long,2026-06-29 17:48:11,2026-06-29 17:50:32,141.0,1,0.02,0.02,4019.9800000000005,4021.82,4019.98,4019.98,0.0,3.68,0.0,0.0,3.68,1.84,1.8399999999996908,1,True,,,,0,profit
