basket,dir,burst,t0,lots,n,px
L001,long,1,2026-06-29 12:23:35,0.02,1,4049.82
L001,long,2,2026-06-29 12:26:29,0.02,1,4046.78
L002,long,1,2026-06-29 12:37:55,0.02,1,4043.2299999999996
L002,long,2,2026-06-29 12:40:38,0.02,1,4042.4100000000003
L002,long,3,2026-06-29 12:48:33,0.03,1,4039.17
L002,long,4,2026-06-29 12:50:26,0.04,1,4036.61
L002,long,5,2026-06-29 12:51:54,0.05,1,4034.0200000000004
L002,long,6,2026-06-29 12:57:00,0.06,1,4032.53
L002,long,7,2026-06-29 12:57:39,0.08,1,4025.86
L002,long,8,2026-06-29 12:57:45,0.11,1,4028.06
L003,long,1,2026-06-29 14:23:35,0.02,1,4030.6599999999994
L003,long,2,2026-06-29 14:27:01,0.02,1,4028.67
L004,long,1,2026-06-29 14:34:25,0.02,1,4034.2
L005,long,1,2026-06-29 15:22:43,0.02,1,4042.99
L005,long,2,2026-06-29 15:24:04,0.02,1,4040.05
L005,long,3,2026-06-29 15:26:51,0.03,1,4039.2
L006,long,1,2026-06-29 15:42:06,0.02,1,4043.1199999999994
L007,long,1,2026-06-29 16:11:19,0.02,1,4045.92
L008,long,1,2026-06-29 16:22:05,0.02,1,4045.08
L008,long,2,2026-06-29 16:25:44,0.02,1,4041.63
L008,long,3,2026-06-29 16:27:37,0.03,1,4040.48
L008,long,4,2026-06-29 16:30:16,0.04,1,4038.12
L009,long,1,2026-06-29 16:36:26,0.02,1,4040.64
L009,long,2,2026-06-29 16:37:50,0.02,1,4035.27
L010,long,1,2026-06-29 16:46:42,0.02,1,4036.2500000000005
L010,long,2,2026-06-29 16:49:11,0.02,1,4034.94
L010,long,3,2026-06-29 16:54:24,0.03,1,4033.06
L010,long,4,2026-06-29 16:54:56,0.04,1,4031.8000000000006
L010,long,5,2026-06-29 16:56:44,0.05,1,4029.77
L011,long,1,2026-06-29 17:02:44,0.02,1,4031.4700000000003
L011,long,2,2026-06-29 17:03:28,0.02,1,4027.23
L011,long,3,2026-06-29 17:03:41,0.03,1,4025.82
L011,long,4,2026-06-29 17:06:29,0.04,1,4019.2800000000007
L011,long,5,2026-06-29 17:06:51,0.05,1,4016.73
L011,long,6,2026-06-29 17:11:12,0.06,1,4013.3699999999994
L011,long,7,2026-06-29 17:11:43,0.08,1,4013.46
L011,long,8,2026-06-29 17:12:30,0.11,1,4011.25
L011,long,9,2026-06-29 17:13:11,0.14,1,4012.02
L012,long,1,2026-06-29 17:15:37,0.02,1,4003.18
L013,long,1,2026-06-29 17:29:49,0.02,1,4024.38
L014,long,1,2026-06-29 17:34:40,0.02,1,4028.2899999999995
L014,long,2,2026-06-29 17:39:16,0.02,1,4022.53
L015,long,1,2026-06-29 17:48:11,0.02,1,4019.9800000000005
L016,long,1,2026-06-29 17:59:26,0.02,1,4025.2200000000003
L016,long,2,2026-06-29 18:03:21,0.02,1,4022.58
L016,long,3,2026-06-29 18:13:48,0.03,1,4020.74
L017,long,1,2026-06-29 18:21:30,0.02,1,4021.04
L017,long,2,2026-06-29 18:24:10,0.02,1,4018.2700000000004
L018,long,1,2026-06-29 18:38:07,0.02,1,4018.5300000000007
L019,long,1,2026-06-29 19:00:59,0.02,1,4026.8300000000004
L019,long,2,2026-06-29 19:15:25,0.02,1,4024.07
L019,long,3,2026-06-29 19:16:08,0.03,1,4022.44
L019,long,4,2026-06-29 19:33:09,0.04,1,4020.17
L020,long,1,2026-06-29 20:00:30,0.02,1,4025.15
L021,long,1,2026-06-29 20:24:31,0.02,1,4027.81
L021,long,2,2026-06-29 20:26:31,0.02,1,4024.83
L021,long,3,2026-06-29 20:32:31,0.03,1,4022.28
L021,long,4,2026-06-29 20:59:03,0.04,1,4020.68
L022,long,1,2026-06-30 09:36:00,0.02,1,4031.86
L022,long,2,2026-06-30 09:37:46,0.02,1,4025.11
L022,long,3,2026-06-30 09:39:35,0.02,1,4022.44
L023,long,1,2026-06-30 10:00:07,0.02,1,4030.0699999999997
L024,long,1,2026-06-30 10:03:24,0.04,2,4027.105
L025,long,1,2026-06-30 10:04:59,0.04,2,4027.5199999999995
L026,long,1,2026-06-30 10:07:17,0.02,1,4029.73
L027,long,1,2026-07-02 09:15:19,0.02,1,4068.45
L028,long,1,2026-07-02 09:30:03,0.02,1,4074.95
L028,long,2,2026-07-02 09:39:48,0.02,1,4073.54
L028,long,3,2026-07-02 09:43:23,0.03,1,4067.16
L029,long,1,2026-07-02 10:04:06,0.02,1,4068.9700000000003
L030,long,1,2026-07-02 10:13:22,0.02,1,4069.1200000000003
L030,long,2,2026-07-02 10:17:15,0.02,1,4067.29
L030,long,3,2026-07-02 10:20:23,0.03,1,4066.15
L030,long,4,2026-07-02 10:24:02,0.04,1,4063.0100000000007
L031,long,1,2026-07-02 10:48:26,0.02,1,4069.01
L031,long,2,2026-07-02 10:54:58,0.02,1,4066.7099999999996
L031,long,3,2026-07-02 10:55:46,0.03,1,4064.76
L031,long,4,2026-07-02 11:00:39,0.04,1,4063.28
L032,long,1,2026-07-02 11:14:49,0.02,1,4070.36
L033,long,1,2026-07-02 11:33:07,0.02,1,4074.5200000000004
L034,long,1,2026-07-02 11:52:17,0.02,1,4075.2299999999996
L035,long,1,2026-07-02 12:06:06,0.02,1,4075.08
L035,long,2,2026-07-02 12:07:23,0.02,1,4072.1699999999996
L035,long,3,2026-07-02 12:17:22,0.03,1,4071.48
L035,long,4,2026-07-02 12:25:41,0.04,1,4067.79
L035,long,5,2026-07-02 12:31:30,0.05,1,4066.0
L036,long,1,2026-07-02 12:56:01,0.02,1,4066.1
L036,long,2,2026-07-02 13:04:13,0.02,1,4064.84
L037,long,1,2026-07-02 14:04:29,0.02,1,4061.41
L037,long,2,2026-07-02 14:06:25,0.02,1,4059.14
L038,long,1,2026-07-02 16:08:07,0.02,1,4119.73
L038,long,2,2026-07-02 16:09:09,0.02,1,4117.5
L039,long,1,2026-07-02 16:16:12,0.02,1,4121.25
L039,long,2,2026-07-02 16:18:33,0.02,1,4116.02
L039,long,3,2026-07-02 16:22:17,0.03,1,4115.08
L040,long,1,2026-07-02 16:24:57,0.02,1,4114.24
L040,long,2,2026-07-02 16:25:40,0.02,1,4112.81
L040,long,3,2026-07-02 16:25:54,0.03,1,4110.94
L041,long,1,2026-07-02 16:30:06,0.02,1,4113.73
L041,long,2,2026-07-02 16:30:24,0.02,1,4111.99
L042,long,1,2026-07-02 16:38:20,0.02,1,4129.64
L043,long,1,2026-07-02 16:54:49,0.02,1,4134.57
