basket,dir,level,dprice,adverse,dt_s,lot_prev,lot_new
L001,long,1,-3.0399999999999636,3.0399999999999636,174.0,0.02,0.02
L002,long,1,-0.8200000000001637,0.8200000000001637,163.0,0.02,0.02
L002,long,2,-3.2399999999997817,3.2399999999997817,475.0,0.02,0.03
L002,long,3,-2.5599999999999454,2.5599999999999454,113.0,0.03,0.04
L002,long,4,-2.5900000000001455,2.5900000000001455,88.0,0.04,0.05
L002,long,5,-1.4899999999997817,1.4899999999997817,306.0,0.05,0.06
L002,long,6,-6.670000000000073,6.670000000000073,39.0,0.06,0.08
L002,long,7,2.199999999999818,-2.199999999999818,6.0,0.08,0.11
L003,long,1,-1.9899999999997817,1.9899999999997817,206.0,0.02,0.02
L005,long,1,-2.9399999999996,2.9399999999996,81.0,0.02,0.02
L005,long,2,-0.8500000000003638,0.8500000000003638,167.0,0.02,0.03
L008,long,1,-3.449999999999818,3.449999999999818,219.0,0.02,0.02
L008,long,2,-1.150000000000091,1.150000000000091,113.0,0.02,0.03
L008,long,3,-2.3600000000001273,2.3600000000001273,159.0,0.03,0.04
L009,long,1,-5.369999999999891,5.369999999999891,84.0,0.02,0.02
L010,long,1,-1.3099999999999454,1.3099999999999454,149.0,0.02,0.02
L010,long,2,-1.8800000000001091,1.8800000000001091,313.0,0.02,0.03
L010,long,3,-1.2599999999997635,1.2599999999997635,32.0,0.03,0.04
L010,long,4,-2.0300000000002,2.0300000000002,108.0,0.04,0.05
L011,long,1,-4.239999999999782,4.239999999999782,44.0,0.02,0.02
L011,long,2,-1.4099999999998545,1.4099999999998545,13.0,0.02,0.03
L011,long,3,-6.539999999999964,6.539999999999964,168.0,0.03,0.04
L011,long,4,-2.550000000000182,2.550000000000182,22.0,0.04,0.05
L011,long,5,-3.3600000000001273,3.3600000000001273,261.0,0.05,0.06
L011,long,6,0.09000000000014552,-0.09000000000014552,31.0,0.06,0.08
L011,long,7,-2.2100000000000364,2.2100000000000364,47.0,0.08,0.11
L011,long,8,0.7699999999999818,-0.7699999999999818,41.0,0.11,0.14
L014,long,1,-5.7599999999997635,5.7599999999997635,276.0,0.02,0.02
L016,long,1,-2.6399999999998727,2.6399999999998727,235.0,0.02,0.02
L016,long,2,-1.8400000000001455,1.8400000000001455,627.0,0.02,0.03
L017,long,1,-2.769999999999982,2.769999999999982,160.0,0.02,0.02
L019,long,1,-2.7599999999997635,2.7599999999997635,866.0,0.02,0.02
L019,long,2,-1.6300000000001091,1.6300000000001091,43.0,0.02,0.03
L019,long,3,-2.269999999999982,2.269999999999982,1021.0,0.03,0.04
L021,long,1,-2.980000000000018,2.980000000000018,120.0,0.02,0.02
L021,long,2,-2.549999999999727,2.549999999999727,360.0,0.02,0.03
L021,long,3,-1.6000000000003638,1.6000000000003638,1592.0,0.03,0.04
L022,long,1,-6.75,6.75,106.0,0.02,0.02
L022,long,2,-2.6700000000000728,2.6700000000000728,109.0,0.02,0.02
L024,long,1,-0.18999999999959982,0.18999999999959982,2.0,0.02,0.02
L025,long,1,-0.15999999999985448,0.15999999999985448,0.0,0.02,0.02
L028,long,1,-1.4099999999998545,1.4099999999998545,585.0,0.02,0.02
L028,long,2,-6.380000000000109,6.380000000000109,215.0,0.02,0.03
