Open Time,Ticket,Type,Size,Item,Price,S / L,T / P,Time,State,Comment,_sheet,_stmt
2026.07.23 01:59:33,619782053,buy,0.55 / 0.55,XAUUSD-STDc,market,0,0,2026.07.23 01:59:33,filled,copy #1007969300,Sheet1,2026.07.23 23:59
2026.07.23 01:59:33,619782289,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.07.23 01:59:34,filled,copy #1007969305,Sheet1,2026.07.23 23:59
2026.07.23 01:59:33,619782517,buy,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.07.23 01:59:34,filled,copy #1007969332,Sheet1,2026.07.23 23:59
2026.07.23 01:59:34,619782740,buy,0.05 / 0.05,XAUUSD-STDc,market,0,0,2026.07.23 01:59:34,filled,copy #1007969377,Sheet1,2026.07.23 23:59
2026.07.23 01:59:34,619782970,buy,0.08 / 0.08,XAUUSD-STDc,market,0,0,2026.07.23 01:59:34,filled,copy #1007969405,Sheet1,2026.07.23 23:59
2026.07.23 01:59:34,619783187,buy,0.13 / 0.13,XAUUSD-STDc,market,0,0,2026.07.23 01:59:35,filled,copy #1007969427,Sheet1,2026.07.23 23:59
2026.07.23 01:59:35,619783422,buy,0.21 / 0.21,XAUUSD-STDc,market,0,0,2026.07.23 01:59:35,filled,copy #1007969449,Sheet1,2026.07.23 23:59
2026.07.23 01:59:35,619783805,buy,0.34 / 0.34,XAUUSD-STDc,market,0,0,2026.07.23 01:59:35,filled,copy #1007969491,Sheet1,2026.07.23 23:59
2026.07.23 01:59:40,619786136,buy,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.07.23 01:59:40,filled,copy #1007969903,Sheet1,2026.07.23 23:59
2026.07.23 01:59:40,619786351,buy,0.55 / 0.55,XAUUSD-STDc,market,0,0,2026.07.23 01:59:41,filled,copy #1007969904,Sheet1,2026.07.23 23:59
2026.07.23 01:59:40,619786559,buy,0.05 / 0.05,XAUUSD-STDc,market,0,0,2026.07.23 01:59:41,filled,copy #1007969905,Sheet1,2026.07.23 23:59
2026.07.23 01:59:40,619786982,buy,0.21 / 0.21,XAUUSD-STDc,market,0,0,2026.07.23 01:59:41,filled,copy #1007969908,Sheet1,2026.07.23 23:59
2026.07.23 01:59:40,619786772,buy,0.08 / 0.08,XAUUSD-STDc,market,0,0,2026.07.23 01:59:41,filled,copy #1007969907,Sheet1,2026.07.23 23:59
2026.07.23 01:59:40,619787400,buy,0.13 / 0.13,XAUUSD-STDc,market,0,0,2026.07.23 01:59:41,filled,copy #1007969910,Sheet1,2026.07.23 23:59
2026.07.23 01:59:40,619787183,buy,0.34 / 0.34,XAUUSD-STDc,market,0,0,2026.07.23 01:59:41,filled,copy #1007969909,Sheet1,2026.07.23 23:59
2026.07.23 02:27:50,619886277,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.07.23 02:27:51,filled,copy #1008023690,Sheet1,2026.07.23 23:59
2026.07.23 02:27:50,619886505,buy,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.07.23 02:27:51,filled,copy #1008023699,Sheet1,2026.07.23 23:59
2026.07.23 02:27:51,619886735,buy,0.04 / 0.04,XAUUSD-STDc,market,0,0,2026.07.23 02:27:51,filled,copy #1008023726,Sheet1,2026.07.23 23:59
2026.07.23 02:28:11,619889176,buy,0.05 / 0.05,XAUUSD-STDc,market,0,0,2026.07.23 02:28:11,filled,copy #1008024604,Sheet1,2026.07.23 23:59
2026.07.23 02:28:31,619890384,buy,0.07 / 0.07,XAUUSD-STDc,market,0,0,2026.07.23 02:28:31,filled,copy #1008024913,Sheet1,2026.07.23 23:59
2026.07.23 02:28:36,619890841,buy,0.08 / 0.08,XAUUSD-STDc,market,0,0,2026.07.23 02:28:36,filled,copy #1008025052,Sheet1,2026.07.23 23:59
2026.07.23 02:28:36,619891060,buy,0.11 / 0.11,XAUUSD-STDc,market,0,0,2026.07.23 02:28:36,filled,copy #1008025053,Sheet1,2026.07.23 23:59
2026.07.23 02:28:36,619891280,buy,0.18 / 0.18,XAUUSD-STDc,market,0,0,2026.07.23 02:28:36,filled,copy #1008025054,Sheet1,2026.07.23 23:59
2026.07.23 02:28:36,619891713,buy,0.23 / 0.23,XAUUSD-STDc,market,0,0,2026.07.23 02:28:36,filled,copy #1008025058,Sheet1,2026.07.23 23:59
2026.07.23 02:28:36,619891497,buy,0.14 / 0.14,XAUUSD-STDc,market,0,0,2026.07.23 02:28:37,filled,copy #1008025055,Sheet1,2026.07.23 23:59
2026.07.23 02:28:37,619891940,buy,0.31 / 0.31,XAUUSD-STDc,market,0,0,2026.07.23 02:28:37,filled,copy #1008025176,Sheet1,2026.07.23 23:59
2026.07.23 02:28:37,619892159,buy,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.07.23 02:28:37,filled,copy #1008025177,Sheet1,2026.07.23 23:59
2026.07.23 02:33:19,619897760,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.07.23 02:33:19,filled,copy #1008028901,Sheet1,2026.07.23 23:59
2026.07.23 02:33:19,619897985,sell,0.31 / 0.31,XAUUSD-STDc,market,0,0,2026.07.23 02:33:20,filled,copy #1008028906,Sheet1,2026.07.23 23:59
2026.07.23 02:33:20,619898204,sell,0.23 / 0.23,XAUUSD-STDc,market,0,0,2026.07.23 02:33:20,filled,copy #1008028937,Sheet1,2026.07.23 23:59
2026.07.23 02:33:20,619898418,sell,0.18 / 0.18,XAUUSD-STDc,market,0,0,2026.07.23 02:33:20,filled,copy #1008028972,Sheet1,2026.07.23 23:59
2026.07.23 02:33:20,619898642,sell,0.14 / 0.14,XAUUSD-STDc,market,0,0,2026.07.23 02:33:21,filled,copy #1008028999,Sheet1,2026.07.23 23:59
2026.07.23 02:33:20,619898864,sell,0.11 / 0.11,XAUUSD-STDc,market,0,0,2026.07.23 02:33:21,filled,copy #1008029006,Sheet1,2026.07.23 23:59
2026.07.23 02:33:21,619899087,sell,0.08 / 0.08,XAUUSD-STDc,market,0,0,2026.07.23 02:33:21,filled,copy #1008029062,Sheet1,2026.07.23 23:59
2026.07.23 02:33:21,619899314,sell,0.07 / 0.07,XAUUSD-STDc,market,0,0,2026.07.23 02:33:21,filled,copy #1008029117,Sheet1,2026.07.23 23:59
2026.07.23 02:33:21,619899526,sell,0.05 / 0.05,XAUUSD-STDc,market,0,0,2026.07.23 02:33:21,filled,copy #1008029138,Sheet1,2026.07.23 23:59
2026.07.23 02:33:21,619899748,sell,0.04 / 0.04,XAUUSD-STDc,market,0,0,2026.07.23 02:33:22,filled,copy #1008029198,Sheet1,2026.07.23 23:59
2026.07.23 02:33:22,619899967,sell,0.03 / 0.03,XAUUSD-STDc,market,0,0,2026.07.23 02:33:22,filled,copy #1008029235,Sheet1,2026.07.23 23:59
2026.07.23 02:33:22,619900187,sell,0.02 / 0.02,XAUUSD-STDc,market,0,0,2026.07.23 02:33:22,filled,copy #1008029297,Sheet1,2026.07.23 23:59
2026.07.23 10:48:11,623054994,buy,0.11 / 0.11,XAUUSD-STDc,market,0,0,2026.07.23 10:48:11,filled,copy #1009614674,Sheet1,2026.07.23 23:59
2026.07.23 10:48:11,623055281,buy,0.08 / 0.08,XAUUSD-STDc,market,0,0,2026.07.23 10:48:12,filled,copy #1009614727,Sheet1,2026.07.23 23:59
2026.07.23 10:48:12,623055526,buy,0.06 / 0.06,XAUUSD-STDc,market,0,0,2026.07.23 10:48:12,filled,copy #1009614805,Sheet1,2026.07.23 23:59
2026.07.23 10:48:13,623057107,buy,0.05 / 0.05,XAUUSD-STDc,market,0,0,2026.07.23 10:48:14,filled,copy #1009614863,Sheet1,2026.07.23 23:59
